Game,Score,Steps,Length
1,48,1194,51
2,30,652,33
3,75,2135,78
4,68,1899,71
5,60,1653,63
6,51,1201,54
7,40,886,43
8,47,1230,50
9,96,3404,99
10,63,1791,66
11,86,2236,89
12,43,1227,46
13,57,1367,60
14,73,2077,76
15,27,637,30
16,26,615,29
17,59,1408,62
18,49,1155,52
19,26,615,29
20,55,1368,58
21,57,1491,60
22,19,466,22
23,47,1066,50
24,88,2469,91
25,31,743,34
26,55,1367,58
27,18,506,21
28,27,715,30
29,37,907,40
30,66,1662,69
31,26,634,29
32,38,1086,41
33,47,1168,50
34,50,1358,53
35,56,1559,59
36,84,2697,87
37,53,1470,56
38,69,1841,72
39,144,5194,147
40,42,1022,45
41,31,762,34
42,79,2323,82
43,93,2561,96
44,103,3505,106
45,18,419,21
46,27,633,30
47,26,521,29
48,49,1315,52
49,14,304,17
50,100,2992,103
51,31,748,34
52,74,2366,77
53,87,2513,90
54,63,1607,66
55,17,387,20
56,44,1145,47
57,32,707,35
58,90,2752,93
59,55,1613,58
60,26,525,29
61,37,1055,40
62,52,1528,55
63,67,1930,70
64,51,1379,54
65,68,2053,71
66,49,1174,52
67,88,2607,91
68,72,1968,75
69,28,787,31
70,71,2348,74
71,38,962,41
72,32,728,35
73,79,2209,82
74,74,2019,77
75,38,1014,41
76,63,1738,66
77,91,2588,94
78,69,1878,72
79,96,3010,99
80,63,1780,66
81,79,2336,82
82,21,553,24
83,71,2159,74
84,61,1531,64
85,105,3261,108
86,35,838,38
87,124,4983,127
88,27,608,30
89,30,692,33
90,46,1242,49
91,44,1044,47
92,42,1154,45
93,75,2216,78
94,56,1486,59
95,25,673,28
96,55,1515,58
97,59,1613,62
98,54,1448,57
99,70,2176,73
100,73,1961,76
101,34,775,37
102,55,1411,58
103,49,1489,52
104,78,2153,81
105,29,860,32
106,35,952,38
107,110,3425,113
108,72,1839,75
109,69,1839,72
110,43,974,46
111,36,1005,39
112,28,740,31
113,53,1306,56
114,95,3187,98
115,64,1900,67
116,35,1009,38
117,85,2553,88
118,119,3672,122
119,40,1124,43
120,54,1461,57
121,44,1290,47
122,64,1719,67
123,79,2044,82
124,69,1893,72
125,76,2240,79
126,69,1969,72
127,36,843,39
128,118,4586,121
129,33,1007,36
130,67,1766,70
131,98,3169,101
132,72,2133,75
133,58,1347,61
134,110,3063,113
135,27,687,30
136,80,2396,83
137,35,903,38
138,77,2504,80
139,44,1014,47
140,79,2384,82
141,112,3674,115
142,52,1296,55
143,99,3378,102
144,44,1394,47
145,81,2392,84
146,50,1270,53
147,39,1097,42
148,42,985,45
149,92,2761,95
150,80,2726,83
151,69,1906,72
152,32,858,35
153,35,868,38
154,42,1038,45
155,24,637,27
156,15,328,18
157,29,767,32
158,48,1239,51
159,43,1130,46
160,40,915,43
161,51,1299,54
162,76,2210,79
163,66,1717,69
164,37,943,40
165,33,889,36
166,55,1531,58
167,30,714,33
168,49,1345,52
169,66,1970,69
170,35,976,38
171,107,3634,110
172,46,1168,49
173,58,1668,61
174,61,1817,64
175,40,1021,43
176,11,366,14
177,57,1669,60
178,31,843,34
179,52,1505,55
180,63,1747,66
181,62,1627,65
182,51,1635,54
183,40,1212,43
184,70,1989,73
185,64,1732,67
186,57,1346,60
187,41,1055,44
188,53,1306,56
